player_id;behalten;schliessen;beleg
5094;51;86;Altsystem
5116;184;107;Ablage-Regel
5161;17;83;Ablage-Regel
5165;202;88;Ablage-Regel
5250;5;107;Ablage-Regel
5257;202;88;Ablage-Regel
5275;192;181;Altsystem
5304;46;134;Altsystem
5318;81;68;Altsystem
5490;202;107;Ablage-Regel
5555;97;107;Ablage-Regel
5565;184;107;Ablage-Regel
5736;128;1;Altsystem
5935;194;107;Ablage-Regel
5992;32;42;Altsystem
6165;103;177;Ablage-Regel
6177;109;107;Ablage-Regel
6187;111;88;Ablage-Regel
6242;119;177;Ablage-Regel
6312;82;69;Altsystem
6338;149;136;Ablage-Regel
6416;69;133;Altsystem
6477;149;136;Ablage-Regel
6550;164;88;Ablage-Regel
6556;107;83;Altsystem
6768;119;177;Ablage-Regel
6809;184;107;Ablage-Regel
6814;6;88;Ablage-Regel
6880;168;107;Ablage-Regel
6919;144;177;Ablage-Regel
6927;83;107;Altsystem
6950;94;107;Ablage-Regel
6982;82;107;Ablage-Regel
7057;193;45;Altsystem
7177;6;88;Ablage-Regel
7225;189;177;Ablage-Regel
7324;128;8;Altsystem
7353;189;149;Altsystem
7392;84;107;Ablage-Regel
7439;96;107;Ablage-Regel
7515;93;47;Altsystem
7538;167;88;Ablage-Regel
7585;68;81;Altsystem
7677;141;129;Ablage-Regel
7704;45;193;Altsystem
7773;119;177;Ablage-Regel
8023;83;129;Altsystem
8032;149;136;Ablage-Regel
8085;93;1;Altsystem
8221;126;177;Ablage-Regel
8223;126;177;Ablage-Regel
8238;30;96;Altsystem
8274;197;140;Altsystem
8280;66;184;Altsystem
8288;149;136;Ablage-Regel
8338;81;107;Ablage-Regel
8365;68;81;Altsystem
8469;129;88;Altsystem
8579;12;107;Ablage-Regel
8604;48;129;Ablage-Regel
8614;177;83;Altsystem
8670;225;107;Ablage-Regel
8822;103;177;Ablage-Regel
8886;119;177;Ablage-Regel
8893;46;101;Altsystem
9145;186;177;Ablage-Regel
9214;107;83;Altsystem
9229;167;88;Ablage-Regel
9266;189;177;Ablage-Regel
9372;82;177;Ablage-Regel
9418;202;107;Ablage-Regel
9463;142;107;Ablage-Regel
9605;205;88;Ablage-Regel
9617;149;136;Ablage-Regel
9825;138;107;Ablage-Regel
10258;141;107;Ablage-Regel
10335;68;107;Ablage-Regel
10672;76;107;Ablage-Regel
10775;199;131;Altsystem
10810;175;125;Altsystem
10919;109;107;Ablage-Regel
10937;134;96;Altsystem
10969;83;107;Altsystem
11299;55;88;Ablage-Regel
11354;144;185;Altsystem
11562;181;107;Ablage-Regel
11801;81;199;Altsystem
11946;44;107;Ablage-Regel
12016;119;177;Ablage-Regel
12217;202;88;Ablage-Regel
12222;186;177;Ablage-Regel
12277;53;107;Ablage-Regel
12311;96;107;Ablage-Regel
12323;189;184;Altsystem
12364;190;62;Altsystem
12705;184;107;Ablage-Regel
12859;41;107;Ablage-Regel
13104;177;129;Altsystem
13157;68;107;Ablage-Regel
13217;103;129;Ablage-Regel
13620;107;83;Altsystem
13757;112;107;Ablage-Regel
14417;68;83;Ablage-Regel
15231;125;107;Ablage-Regel
15354;123;57;Altsystem
15431;125;107;Ablage-Regel
16309;82;107;Ablage-Regel
16444;94;204;Altsystem
16727;41;71;Altsystem
16942;44;107;Ablage-Regel
17070;95;217;Altsystem
17150;108;68;Altsystem
17577;217;107;Ablage-Regel
17591;217;107;Ablage-Regel
17904;107;129;Altsystem
18030;171;107;Ablage-Regel
18368;81;170;Altsystem
18654;159;79;Altsystem
18753;134;107;Ablage-Regel
19240;94;107;Ablage-Regel
19600;227;129;Ablage-Regel
19686;202;107;Ablage-Regel
19861;184;107;Ablage-Regel
20048;224;81;Altsystem
20142;76;181;Altsystem
20265;186;107;Ablage-Regel
20769;225;107;Ablage-Regel
20987;184;107;Ablage-Regel
21372;126;129;Ablage-Regel
21774;96;107;Ablage-Regel
22063;95;107;Ablage-Regel
22244;96;107;Ablage-Regel
23495;139;107;Ablage-Regel
23557;209;107;Ablage-Regel
23608;240;107;Ablage-Regel
23904;65;107;Ablage-Regel
23996;97;107;Ablage-Regel
24193;187;3;Altsystem
24325;129;107;Altsystem
24378;91;68;Altsystem
24457;16;121;Altsystem
26157;258;107;Ablage-Regel
28439;94;107;Ablage-Regel
